<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,15,20180625,164500,183.4500000,184.9200000,183.0100000,184.2000000,223373
US1.AAPL,15,20180625,170000,184.2100000,184.2200000,182.9900000,183.3300000,144637
US1.AAPL,15,20180625,171500,183.2700000,183.8600000,183.1400000,183.3400000,152207
US1.AAPL,15,20180625,173000,183.3300000,183.9800000,183.2700000,183.7400000,116073
US1.AAPL,15,20180625,174500,183.7300000,183.9500000,183.3000000,183.9500000,111231
US1.AAPL,15,20180625,180000,183.9300000,184.0800000,183.1900000,183.3600000,102444
US1.AAPL,15,20180625,181500,183.3400000,183.4800000,183.0000000,183.1900000,94172
US1.AAPL,15,20180625,183000,183.1500000,183.2100000,182.4700000,182.6800000,104508
US1.AAPL,15,20180625,184500,182.6700000,182.8000000,182.1900000,182.4700000,120990
US1.AAPL,15,20180625,190000,182.4200000,182.6500000,182.3100000,182.3200000,74860
US1.AAPL,15,20180625,191500,182.3300000,182.3600000,180.8600000,181.2100000,209630
US1.AAPL,15,20180625,193000,181.2100000,181.5100000,180.7500000,181.4400000,75297
US1.AAPL,15,20180625,194500,181.4700000,181.4900000,180.9700000,181.3800000,97263
US1.AAPL,15,20180625,200000,181.3700000,181.4100000,180.9200000,181.2100000,68354
US1.AAPL,15,20180625,201500,181.1900000,181.2600000,180.8400000,181.0200000,74017
US1.AAPL,15,20180625,203000,181.0300000,181.3900000,180.8500000,181.2800000,74560
US1.AAPL,15,20180625,204500,181.3000000,181.9800000,181.2300000,181.9800000,68349
US1.AAPL,15,20180625,210000,182.0200000,182.2700000,181.6700000,181.7600000,90645
US1.AAPL,15,20180625,211500,181.7600000,181.9000000,181.4300000,181.4900000,58129
US1.AAPL,15,20180625,213000,181.5000000,181.5500000,181.3100000,181.3900000,51217
US1.AAPL,15,20180625,214500,181.4000000,181.4350000,180.8000000,181.0400000,79654
US1.AAPL,15,20180625,220000,181.0400000,181.1000000,180.7300000,181.0800000,87673
US1.AAPL,15,20180625,221500,181.0900000,181.3400000,180.9200000,180.9600000,65527
US1.AAPL,15,20180625,223000,180.9500000,181.6800000,180.9500000,181.4600000,109878
US1.AAPL,15,20180625,224500,181.4700000,182.6500000,181.2600000,182.5900000,168041
US1.AAPL,15,20180625,230000,182.6200000,182.8300000,182.0800000,182.2100000,235746
US1.AAPL,15,20180626,164500,182.6200000,184.0300000,182.5500000,184.0200000,198727
US1.AAPL,15,20180626,170000,184.0100000,184.5450000,183.8200000,184.3800000,160648
US1.AAPL,15,20180626,171500,184.3800000,184.9400000,184.3600000,184.7350000,157049
US1.AAPL,15,20180626,173000,184.7200000,185.0300000,184.2700000,184.2800000,95506
US1.AAPL,15,20180626,174500,184.2650000,184.7000000,184.1200000,184.5800000,100317
US1.AAPL,15,20180626,180000,184.5950000,185.0000000,184.2200000,184.8100000,135376
US1.AAPL,15,20180626,181500,184.7500000,185.0000000,184.6200000,184.9800000,71332
US1.AAPL,15,20180626,183000,184.9600000,185.2000000,184.8100000,184.8800000,62514
US1.AAPL,15,20180626,184500,184.8700000,185.0000000,184.4700000,184.7200000,44555
US1.AAPL,15,20180626,190000,184.7400000,184.8900000,184.6300000,184.8300000,38461
US1.AAPL,15,20180626,191500,184.7900000,185.3200000,184.7900000,185.2100000,71670
US1.AAPL,15,20180626,193000,185.1800000,185.2000000,184.9000000,185.0700000,43117
US1.AAPL,15,20180626,194500,185.0700000,185.3100000,184.9500000,185.0500000,48462
US1.AAPL,15,20180626,200000,185.0700000,185.4900000,185.0400000,185.4200000,33469
US1.AAPL,15,20180626,201500,185.4200000,185.6500000,185.3400000,185.6300000,42238
US1.AAPL,15,20180626,203000,185.6300000,185.9400000,185.6200000,185.9300000,51506
US1.AAPL,15,20180626,204500,185.9300000,186.3900000,185.9000000,186.2000000,54465
US1.AAPL,15,20180626,210000,186.2000000,186.4700000,186.0800000,186.4300000,60872
US1.AAPL,15,20180626,211500,186.4500000,186.5200000,185.8300000,185.8400000,37627
US1.AAPL,15,20180626,213000,185.8400000,185.8800000,185.4400000,185.5600000,38857
US1.AAPL,15,20180626,214500,185.5500000,185.9700000,185.5100000,185.9300000,47917
US1.AAPL,15,20180626,220000,185.9300000,186.0600000,185.3700000,185.4300000,42816
US1.AAPL,15,20180626,221500,185.4000000,185.5000000,185.1100000,185.2000000,37142
US1.AAPL,15,20180626,223000,185.1900000,185.2000000,184.8700000,184.9200000,41112
US1.AAPL,15,20180626,224500,184.9100000,185.3400000,184.8600000,185.1200000,63054
US1.AAPL,15,20180626,230000,185.0900000,185.0900000,184.1000000,184.4400000,188700
US1.AAPL,15,20180627,164500,185.3800000,186.1400000,185.2200000,185.9400000,169737
US1.AAPL,15,20180627,170000,185.9700000,186.4300000,185.8300000,186.3400000,123798
US1.AAPL,15,20180627,171500,186.3500000,186.6700000,186.0300000,186.5900000,92583
US1.AAPL,15,20180627,173000,186.6200000,186.8400000,186.6000000,186.6700000,64370
US1.AAPL,15,20180627,174500,186.6800000,187.2700000,186.6300000,187.0000000,91134
US1.AAPL,15,20180627,180000,187.0100000,187.2000000,186.7000000,186.7000000,63158
US1.AAPL,15,20180627,181500,186.6800000,186.8700000,186.2300000,186.6300000,146658
US1.AAPL,15,20180627,183000,186.6100000,187.1100000,186.4600000,186.5300000,102669
US1.AAPL,15,20180627,184500,186.5300000,186.9300000,186.3350000,186.7600000,92908
US1.AAPL,15,20180627,190000,186.7500000,186.9000000,186.6700000,186.8000000,45850
US1.AAPL,15,20180627,191500,186.7600000,186.8300000,186.6500000,186.6900000,44905
US1.AAPL,15,20180627,193000,186.6900000,186.9300000,186.2600000,186.2700000,59344
US1.AAPL,15,20180627,194500,186.2900000,186.3400000,185.7000000,185.7000000,55751
US1.AAPL,15,20180627,200000,185.7000000,185.8900000,185.2500000,185.2600000,71949
US1.AAPL,15,20180627,201500,185.2600000,185.4900000,184.8400000,184.8500000,81332
US1.AAPL,15,20180627,203000,184.8700000,185.0700000,184.3600000,185.0300000,131743
US1.AAPL,15,20180627,204500,185.0200000,185.3700000,184.7600000,185.2700000,84466
US1.AAPL,15,20180627,210000,185.2400000,185.2600000,184.5000000,185.0000000,93512
US1.AAPL,15,20180627,211500,185.0000000,185.1700000,184.6500000,184.9700000,73373
US1.AAPL,15,20180627,213000,184.9600000,185.4300000,184.8500000,184.9300000,103087
US1.AAPL,15,20180627,214500,184.9000000,185.5700000,184.8100000,185.3400000,68412
US1.AAPL,15,20180627,220000,185.3300000,185.5100000,184.7000000,184.9100000,105465
US1.AAPL,15,20180627,221500,184.9400000,185.0900000,184.5100000,184.7800000,146679
US1.AAPL,15,20180627,223000,184.7500000,185.4200000,184.7100000,185.3100000,129422
US1.AAPL,15,20180627,224500,185.3000000,185.4400000,185.0200000,185.1200000,93117
US1.AAPL,15,20180627,230000,185.1100000,185.1100000,184.0300000,184.3500000,382310
US1.AAPL,15,20180628,164500,184.0200000,185.1700000,183.8700000,184.7800000,131211
US1.AAPL,15,20180628,170000,184.7600000,185.1500000,184.1700000,184.9800000,173451
US1.AAPL,15,20180628,171500,185.0300000,185.1500000,184.5200000,184.9800000,113814
US1.AAPL,15,20180628,173000,184.9200000,185.2600000,184.5700000,184.7800000,141700
US1.AAPL,15,20180628,174500,184.8000000,185.2500000,184.4000000,185.1700000,128564
