<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,1,20200619,163100,354.64,355.55,354.48,354.88,36268
US1.AAPL,1,20200619,163200,355.01,355.59,354.76,355.59,21600
US1.AAPL,1,20200619,163300,355.62,355.95,355.29,355.56,23731
US1.AAPL,1,20200619,163400,355.67,355.92,355.46,355.8,19252
US1.AAPL,1,20200619,163500,355.84,356.21,355.8,356.03,12951
US1.AAPL,1,20200619,163600,356.02,356.1,355.59,355.59,7710
US1.AAPL,1,20200619,163700,355.66,355.69,355.5,355.61,6917
US1.AAPL,1,20200619,163800,355.63,355.87,354.94,355.43,7554
US1.AAPL,1,20200619,163900,355.46,355.65,355.4,355.51,5056
US1.AAPL,1,20200619,164000,355.59,356.2,355.59,356.17,11521
US1.AAPL,1,20200619,164100,356.14,356.52,356.12,356.34,10586
US1.AAPL,1,20200619,164200,356.43,356.56,356.21,356.33,10113
US1.AAPL,1,20200619,164300,356.32,356.39,356.23,356.24,8849
US1.AAPL,1,20200619,164400,356.26,356.27,355.93,356.2,7126
US1.AAPL,1,20200619,164500,356.05,356.31,356.03,356.11,4409
US1.AAPL,1,20200619,164600,356.14,356.36,355.75,355.77,7976
US1.AAPL,1,20200619,164700,356,356.13,355.96,356,4072
US1.AAPL,1,20200619,164800,355.99,355.99,355.72,355.73,3523
US1.AAPL,1,20200619,164900,355.78,356.06,355.74,355.95,5682
US1.AAPL,1,20200619,165000,355.99,356.11,355.95,356.02,5767
US1.AAPL,1,20200619,165100,356.04,356.04,355.61,355.81,10274
US1.AAPL,1,20200619,165200,355.82,355.92,355.77,355.82,9962
US1.AAPL,1,20200619,165300,355.81,356.03,355.81,355.88,10177
US1.AAPL,1,20200619,165400,355.89,355.96,355.75,355.81,6501
US1.AAPL,1,20200619,165500,355.83,355.88,355.64,355.78,3734
US1.AAPL,1,20200619,165600,355.84,355.87,355.62,355.77,6964
US1.AAPL,1,20200619,165700,355.61,355.61,355.14,355.14,7144
US1.AAPL,1,20200619,165800,355.15,355.5,355.15,355.25,4443
US1.AAPL,1,20200619,165900,355.22,355.24,354.89,355.08,9447
US1.AAPL,1,20200619,170000,355.07,355.09,354.86,355,5834
US1.AAPL,1,20200619,170100,355.02,355.28,354.94,355.06,7339
US1.AAPL,1,20200619,170200,355.08,355.18,354.75,354.8,13095
US1.AAPL,1,20200619,170300,354.81,354.98,354.71,354.84,11569
US1.AAPL,1,20200619,170400,354.82,354.93,354.72,354.86,4011
US1.AAPL,1,20200619,170500,354.83,355.21,354.82,355.14,5619
US1.AAPL,1,20200619,170600,355.13,355.3,354.95,355.1,6411
US1.AAPL,1,20200619,170700,355.22,355.55,355.22,355.55,5729
US1.AAPL,1,20200619,170800,355.6,355.6,355.4,355.43,2978
US1.AAPL,1,20200619,170900,355.58,355.58,355.41,355.47,2921
US1.AAPL,1,20200619,171000,355.54,355.78,355.54,355.71,5146
US1.AAPL,1,20200619,171100,355.71,355.74,355.45,355.57,3347
US1.AAPL,1,20200619,171200,355.57,355.63,355.54,355.6,3697
US1.AAPL,1,20200619,171300,355.61,355.61,355.36,355.58,6502
US1.AAPL,1,20200619,171400,355.56,355.56,355.16,355.24,3136
US1.AAPL,1,20200619,171500,355.25,355.42,355.18,355.37,6305
US1.AAPL,1,20200619,171600,355.39,355.42,354.81,354.96,7307
US1.AAPL,1,20200619,171700,354.96,355.12,354.77,354.91,5886
US1.AAPL,1,20200619,171800,354.87,355.15,354.87,355.09,3981
US1.AAPL,1,20200619,171900,355.16,355.16,354.96,355.08,4379
US1.AAPL,1,20200619,172000,355.04,355.04,354.77,354.83,4906
US1.AAPL,1,20200619,172100,354.86,354.92,354.62,354.68,5593
US1.AAPL,1,20200619,172200,354.68,354.68,354.23,354.31,13149
US1.AAPL,1,20200619,172300,354.35,354.4,354.12,354.27,10894
US1.AAPL,1,20200619,172400,354.17,354.47,354.16,354.47,5106
US1.AAPL,1,20200619,172500,354.52,354.65,354.43,354.52,4564
US1.AAPL,1,20200619,172600,354.51,354.7,354.48,354.7,5957
US1.AAPL,1,20200619,172700,354.67,354.72,354.46,354.48,4921
US1.AAPL,1,20200619,172800,354.54,354.58,354.34,354.44,7309
US1.AAPL,1,20200619,172900,354.46,354.74,354.46,354.72,3484
US1.AAPL,1,20200619,173000,354.74,354.76,354.56,354.66,3610
US1.AAPL,1,20200619,173100,354.7,354.7,354.25,354.44,3849
US1.AAPL,1,20200619,173200,354.47,354.51,354.31,354.31,1200
US1.AAPL,1,20200619,173300,354.26,354.33,353.94,354.01,8670
US1.AAPL,1,20200619,173400,354.05,354.245,354.05,354.18,4138
US1.AAPL,1,20200619,173500,354.24,354.36,354.08,354.36,5953
US1.AAPL,1,20200619,173600,354.35,354.47,354.31,354.38,5267
