<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,1,20200608,163100,330.3400000,330.7500000,329.8800000,330.6600000,18253
US1.AAPL,1,20200608,163200,330.6600000,330.6600000,330.1500000,330.2500000,7731
US1.AAPL,1,20200608,163300,330.2000000,330.2600000,329.6100000,329.6400000,9762
US1.AAPL,1,20200608,163400,329.6800000,329.9800000,329.6200000,329.8300000,3959
US1.AAPL,1,20200608,163500,329.7400000,330.3500000,329.4200000,330.0800000,12779
US1.AAPL,1,20200608,163600,330.1300000,330.2300000,329.9200000,330.2000000,7927
US1.AAPL,1,20200608,163700,330.1400000,330.7900000,330.0700000,330.7400000,6350
US1.AAPL,1,20200608,163800,330.7100000,330.9000000,330.6800000,330.9000000,8334
US1.AAPL,1,20200608,163900,330.9100000,330.9700000,330.6300000,330.9700000,5501
US1.AAPL,1,20200608,164000,330.9000000,331.2700000,330.8800000,331.2000000,10656
US1.AAPL,1,20200608,164100,331.2300000,331.3000000,330.6200000,330.7000000,9525
US1.AAPL,1,20200608,164200,330.7600000,330.9700000,330.7400000,330.8400000,6239
US1.AAPL,1,20200608,164300,330.8300000,330.9700000,330.6800000,330.7400000,5728
US1.AAPL,1,20200608,164400,330.7600000,330.8900000,330.6100000,330.8700000,3514
US1.AAPL,1,20200608,164500,330.9700000,331.0200000,330.8400000,330.8400000,2000
US1.AAPL,1,20200608,164600,330.7900000,330.8300000,330.3500000,330.5000000,7462
US1.AAPL,1,20200608,164700,330.5000000,330.5200000,330.1700000,330.4000000,5484
US1.AAPL,1,20200608,164800,330.3700000,330.4800000,329.8400000,329.8800000,4557
US1.AAPL,1,20200608,164900,329.9900000,330.2000000,329.9900000,330.2000000,3890
US1.AAPL,1,20200608,165000,330.1500000,330.1500000,329.7800000,329.7800000,6035
US1.AAPL,1,20200608,165100,329.7500000,330.0000000,329.6400000,330.0000000,9163
US1.AAPL,1,20200608,165200,329.9400000,330.1300000,329.9400000,330.1000000,4588
US1.AAPL,1,20200608,165300,330.0500000,330.1000000,329.8300000,329.9700000,3606
US1.AAPL,1,20200608,165400,329.9000000,330.1900000,329.8600000,330.0300000,6151
US1.AAPL,1,20200608,165500,330.0000000,330.1400000,329.8400000,330.0200000,8418
US1.AAPL,1,20200608,165600,330.0200000,330.0200000,329.8000000,329.8500000,2172
US1.AAPL,1,20200608,165700,329.8100000,329.8300000,329.0600000,329.0700000,13004
US1.AAPL,1,20200608,165800,329.0700000,329.1900000,328.8200000,329.1750000,11592
US1.AAPL,1,20200608,165900,329.1700000,329.1900000,328.9900000,329.1000000,6033
US1.AAPL,1,20200608,170000,329.1000000,329.1800000,329.0700000,329.1300000,3801
US1.AAPL,1,20200608,170100,329.1800000,329.2200000,328.9000000,329.0100000,4035
US1.AAPL,1,20200608,170200,329.0000000,329.0900000,328.9000000,328.9900000,2500
US1.AAPL,1,20200608,170300,328.9800000,329.1000000,328.6600000,328.7400000,5539
US1.AAPL,1,20200608,170400,328.7200000,328.8500000,328.6100000,328.7000000,5200
US1.AAPL,1,20200608,170500,328.7800000,328.7800000,328.3000000,328.4300000,5215
US1.AAPL,1,20200608,170600,328.3200000,328.5200000,328.2900000,328.3600000,2909
US1.AAPL,1,20200608,170700,328.3200000,328.4900000,328.1100000,328.2100000,5623
US1.AAPL,1,20200608,170800,328.1000000,328.4200000,328.0800000,328.3900000,3722
US1.AAPL,1,20200608,170900,328.3500000,328.3500000,327.9000000,328.0100000,15354
US1.AAPL,1,20200608,171000,328.0000000,328.1050000,327.9600000,328.0400000,5240
US1.AAPL,1,20200608,171100,328.0000000,328.2500000,327.9800000,328.1000000,11181
US1.AAPL,1,20200608,171200,328.1400000,328.3300000,328.1400000,328.2400000,3901
US1.AAPL,1,20200608,171300,328.3200000,328.4800000,328.2200000,328.3800000,5647
US1.AAPL,1,20200608,171400,328.3600000,328.5300000,328.3100000,328.3700000,3127
US1.AAPL,1,20200608,171500,328.3900000,328.4900000,328.2300000,328.2300000,9186
US1.AAPL,1,20200608,171600,328.1900000,328.2100000,327.9500000,327.9700000,8464
US1.AAPL,1,20200608,171700,327.9500000,327.9800000,327.4200000,327.4900000,7670
US1.AAPL,1,20200608,171800,327.4600000,327.6500000,327.3400000,327.6500000,6850
US1.AAPL,1,20200608,171900,327.6300000,327.7800000,327.5900000,327.5900000,5500
US1.AAPL,1,20200608,172000,327.5700000,327.6600000,327.5300000,327.5600000,2938
US1.AAPL,1,20200608,172100,327.6000000,327.7400000,327.4400000,327.7000000,5147
US1.AAPL,1,20200608,172200,327.6950000,328.0400000,327.6950000,327.9100000,3900
US1.AAPL,1,20200608,172300,327.9300000,328.1350000,327.7800000,328.1350000,4382
US1.AAPL,1,20200608,172400,328.1600000,328.2900000,327.9600000,328.2900000,6481
US1.AAPL,1,20200608,172500,328.3200000,328.4500000,328.3200000,328.4100000,2622
US1.AAPL,1,20200608,172600,328.4450000,328.4450000,328.1300000,328.2400000,4553
US1.AAPL,1,20200608,172700,328.1900000,328.4200000,328.0700000,328.3000000,3400
US1.AAPL,1,20200608,172800,328.3300000,328.4200000,328.2200000,328.3200000,3300
US1.AAPL,1,20200608,172900,328.3800000,328.3800000,328.2000000,328.3100000,4407
US1.AAPL,1,20200608,173000,328.3400000,328.6100000,328.3400000,328.5700000,3785
US1.AAPL,1,20200608,173100,328.5600000,328.6300000,328.5100000,328.5700000,2300
US1.AAPL,1,20200608,173200,328.5600000,328.6800000,328.4500000,328.6100000,3052
US1.AAPL,1,20200608,173300,328.6800000,328.8000000,328.6700000,328.7400000,3100
US1.AAPL,1,20200608,173400,328.7100000,328.9900000,328.7000000,328.8000000,4358
US1.AAPL,1,20200608,173500,328.7900000,328.9500000,328.7800000,328.9400000,2000
US1.AAPL,1,20200608,173600,328.9850000,329.1000000,328.9100000,329.0200000,5871
US1.AAPL,1,20200608,173700,329.0200000,329.0300000,328.9300000,328.9400000,2745
US1.AAPL,1,20200608,173800,328.9500000,328.9500000,328.7200000,328.8400000,7657
US1.AAPL,1,20200608,173900,328.7900000,328.8300000,328.6000000,328.8200000,4920
US1.AAPL,1,20200608,174000,328.8100000,328.8700000,328.7300000,328.8700000,3300
US1.AAPL,1,20200608,174100,328.9100000,329.1500000,328.9000000,329.0900000,3357
US1.AAPL,1,20200608,174200,329.1550000,329.3700000,329.1550000,329.1800000,5580
US1.AAPL,1,20200608,174300,329.2000000,329.2000000,328.9500000,329.0400000,2700
US1.AAPL,1,20200608,174400,329.0500000,329.0900000,329.0000000,329.0900000,2213
US1.AAPL,1,20200608,174500,329.0300000,329.1300000,329.0300000,329.1300000,2297
US1.AAPL,1,20200608,174600,329.0500000,329.2200000,329.0100000,329.2000000,4152
US1.AAPL,1,20200608,174700,329.2900000,329.4300000,329.2700000,329.3900000,3200
US1.AAPL,1,20200608,174800,329.3200000,329.6100000,329.2200000,329.6000000,5085
US1.AAPL,1,20200608,174900,329.5300000,329.6000000,329.5300000,329.5900000,1011
US1.AAPL,1,20200608,175000,329.5700000,329.7200000,329.5500000,329.7200000,2070
US1.AAPL,1,20200608,175100,329.6800000,329.8000000,329.6800000,329.7000000,6452
US1.AAPL,1,20200608,175200,329.7500000,329.9400000,329.7500000,329.8700000,2174
US1.AAPL,1,20200608,175300,329.8900000,330.0900000,329.8900000,330.0900000,3994
US1.AAPL,1,20200608,175400,330.0800000,330.0800000,329.8600000,329.8700000,2968
US1.AAPL,1,20200608,175500,329.9100000,329.9300000,329.7800000,329.8800000,1963
US1.AAPL,1,20200608,175600,329.8400000,329.9800000,329.7800000,329.9100000,2000
US1.AAPL,1,20200608,175700,329.8500000,330.0000000,329.8500000,329.8800000,1911
US1.AAPL,1,20200608,175800,329.8400000,329.9700000,329.7500000,329.9700000,3116
US1.AAPL,1,20200608,175900,330.0000000,330.0400000,329.9900000,330.0200000,1591
US1.AAPL,1,20200608,180000,330.0900000,330.1400000,330.0600000,330.0800000,1449
US1.AAPL,1,20200608,180100,330.0400000,330.1700000,330.0400000,330.1600000,1536
US1.AAPL,1,20200608,180200,330.1300000,330.1300000,329.9300000,329.9600000,5839
US1.AAPL,1,20200608,180300,330.0000000,330.0000000,329.8000000,329.8600000,1700
US1.AAPL,1,20200608,180400,329.9000000,329.9500000,329.8600000,329.9000000,2070
US1.AAPL,1,20200608,180500,329.8800000,329.9000000,329.7700000,329.9000000,1426
US1.AAPL,1,20200608,180600,329.8900000,329.9000000,329.7600000,329.8200000,1992
US1.AAPL,1,20200608,180700,329.8200000,329.8700000,329.8200000,329.8300000,400
US1.AAPL,1,20200608,180800,329.8700000,329.8800000,329.7400000,329.7600000,1862
US1.AAPL,1,20200608,180900,329.7900000,329.9100000,329.7400000,329.8700000,3031
US1.AAPL,1,20200608,181000,329.7900000,329.7900000,329.7300000,329.7700000,1113
US1.AAPL,1,20200608,181100,329.8800000,330.0300000,329.8600000,330.0200000,3507
US1.AAPL,1,20200608,181200,330.1100000,330.1800000,330.1000000,330.1500000,1934
US1.AAPL,1,20200608,181300,330.1000000,330.2300000,330.1000000,330.2000000,3047
US1.AAPL,1,20200608,181400,330.1700000,330.1700000,330.0100000,330.0100000,2137
US1.AAPL,1,20200608,181500,330.0400000,330.1400000,330.0000000,330.0000000,3695
US1.AAPL,1,20200608,181600,329.9800000,330.0800000,329.9800000,330.0600000,2117
US1.AAPL,1,20200608,181700,330.0900000,330.3000000,330.0500000,330.1700000,8115
US1.AAPL,1,20200608,181800,330.1400000,330.2900000,330.1400000,330.2900000,1200
US1.AAPL,1,20200608,181900,330.2700000,330.3400000,330.1700000,330.1700000,3829
US1.AAPL,1,20200608,182000,330.1300000,330.2100000,330.0900000,330.2000000,1800
US1.AAPL,1,20200608,182100,330.1900000,330.3500000,330.1900000,330.3400000,3062
US1.AAPL,1,20200608,182200,330.3900000,330.4400000,330.3500000,330.3700000,1781
US1.AAPL,1,20200608,182300,330.3300000,330.4400000,330.3300000,330.3700000,7244
US1.AAPL,1,20200608,182400,330.3500000,330.4400000,330.3100000,330.4400000,1898
US1.AAPL,1,20200608,182500,330.4500000,330.5900000,330.4400000,330.5700000,3199
