<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;1;200402;103600;182.6100000;182.7400000;182.3200000;182.6600000;219320
GAZP;1;200402;103700;182.6500000;182.6900000;182.4400000;182.5600000;86690
GAZP;1;200402;103800;182.5600000;182.5900000;182.2300000;182.2800000;142680
GAZP;1;200402;103900;182.3000000;182.4100000;182.1000000;182.2300000;95370
GAZP;1;200402;104000;182.1900000;182.3100000;182.1100000;182.1400000;64210
GAZP;1;200402;104100;182.1300000;182.2000000;181.8100000;181.9600000;276930
GAZP;1;200402;104200;181.9400000;182.4600000;181.9400000;182.3700000;404750
GAZP;1;200402;104300;182.3700000;182.4300000;182.2600000;182.3700000;88950
GAZP;1;200402;102900;182.8600000;183.0700000;182.8000000;183.0300000;183290
GAZP;1;200402;103000;183.0300000;183.2300000;182.9900000;183.2000000;103410
GAZP;1;200402;103100;183.2000000;183.2900000;183.0500000;183.2900000;56340
GAZP;1;200402;103200;183.2600000;183.2800000;182.9000000;183.0700000;71440
GAZP;1;200402;103300;183.0700000;183.1100000;182.7500000;182.9000000;194730
GAZP;1;200402;103400;182.9000000;183.0000000;182.8900000;182.9400000;66690
GAZP;1;200402;103500;182.9300000;182.9300000;182.6100000;182.6100000;94570
GAZP;1;200402;104400;182.3700000;182.4100000;182.3000000;182.3300000;28500
GAZP;1;200402;104500;182.3300000;182.4300000;182.2200000;182.2200000;105980
GAZP;1;200402;104600;182.2400000;182.3200000;181.9200000;182.1100000;171570
GAZP;1;200402;104700;182.0400000;182.1900000;182.0000000;182.1400000;62300
GAZP;1;200402;104800;182.1700000;182.1700000;181.8900000;182.0000000;56350
GAZP;1;200402;104900;181.9300000;182.0000000;181.7600000;181.9800000;129410
GAZP;1;200402;105000;181.9000000;181.9700000;181.6100000;181.8100000;145500
GAZP;1;200402;105100;181.8100000;181.8100000;181.2300000;181.5200000;480760
GAZP;1;200402;105200;181.5900000;181.7300000;181.3300000;181.4900000;378850
GAZP;1;200402;105300;181.4300000;181.4700000;181.1200000;181.2400000;279580
GAZP;1;200402;105400;181.2600000;181.8700000;181.2300000;181.8400000;97330
GAZP;1;200402;105500;181.8400000;181.8400000;181.5300000;181.5700000;112070
GAZP;1;200402;105600;181.5800000;181.7000000;181.2100000;181.2900000;296890
GAZP;1;200402;105700;181.3000000;181.7400000;181.2000000;181.6900000;67740
GAZP;1;200402;105800;181.6400000;181.8500000;181.6000000;181.8500000;98350
GAZP;1;200402;105900;181.8500000;181.8500000;181.5700000;181.5700000;104070
GAZP;1;200402;110000;181.6000000;181.8600000;181.5800000;181.6800000;57530
GAZP;1;200402;110100;181.7400000;182.1000000;181.6100000;182.0200000;184680
GAZP;1;200402;110200;182.0700000;182.4100000;182.0400000;182.2800000;268890
GAZP;1;200402;110300;182.3200000;182.3900000;182.2600000;182.3000000;98470
GAZP;1;200402;110400;182.3000000;182.3900000;182.0800000;182.3900000;159900
GAZP;1;200402;110500;182.3900000;182.5600000;182.3000000;182.4100000;342530
GAZP;1;200402;110600;182.4100000;182.6900000;182.3600000;182.3600000;212300
GAZP;1;200402;110700;182.3500000;182.6000000;182.3500000;182.5300000;139640
GAZP;1;200402;110800;182.5300000;182.5400000;182.4000000;182.4200000;108620
GAZP;1;200402;110900;182.4000000;182.5600000;182.4000000;182.5300000;39100
GAZP;1;200402;111000;182.5600000;182.5700000;182.4400000;182.4400000;86640
GAZP;1;200402;111100;182.4500000;182.5100000;182.1200000;182.1200000;148400
GAZP;1;200402;111200;182.1400000;182.3500000;182.0900000;182.3100000;43220
GAZP;1;200402;111300;182.3100000;182.5000000;182.3000000;182.4700000;39290
GAZP;1;200402;111400;182.5000000;182.6100000;182.4000000;182.5500000;81990
GAZP;1;200402;111500;182.5300000;182.9200000;182.5100000;182.8000000;160610
GAZP;1;200402;111600;182.7500000;182.9000000;182.6700000;182.8500000;113270
GAZP;1;200402;111700;182.8600000;182.8600000;182.5100000;182.5500000;59860
GAZP;1;200402;111800;182.5500000;182.5800000;182.3300000;182.3500000;118740
GAZP;1;200402;111900;182.3600000;182.6300000;182.3600000;182.4900000;174790
GAZP;1;200402;112000;182.4600000;182.4600000;182.2400000;182.2400000;59040
GAZP;1;200402;112100;182.2700000;182.5800000;182.2700000;182.4700000;29010
GAZP;1;200402;112200;182.4700000;182.6300000;182.3700000;182.4600000;267800
GAZP;1;200402;112300;182.4100000;182.4500000;182.0400000;182.2600000;107900
GAZP;1;200402;112400;182.2700000;182.3800000;182.0600000;182.3600000;119820
GAZP;1;200402;112500;182.3900000;182.4300000;182.2500000;182.4300000;53380
GAZP;1;200402;112600;182.4300000;182.4500000;182.2300000;182.3700000;67050
GAZP;1;200402;112700;182.4300000;182.4400000;182.1900000;182.4000000;70810
GAZP;1;200402;112800;182.3700000;182.5600000;182.3300000;182.4000000;115030
GAZP;1;200402;112900;182.3900000;182.4300000;182.3200000;182.4000000;58360
GAZP;1;200402;113000;182.3900000;182.6000000;182.3800000;182.5600000;161510
GAZP;1;200402;113100;182.5600000;182.5600000;182.3700000;182.5000000;28320
GAZP;1;200402;113200;182.5000000;182.5400000;182.4400000;182.4600000;66810
GAZP;1;200402;113300;182.4600000;182.4800000;182.2800000;182.3700000;80500
GAZP;1;200402;113400;182.2700000;182.3800000;182.0900000;182.1200000;131100
GAZP;1;200402;113500;182.1200000;182.2000000;181.8100000;181.9600000;184460
GAZP;1;200402;113600;181.9200000;182.1900000;181.7800000;182.1400000;172380
GAZP;1;200402;113700;182.0800000;182.1000000;181.9200000;182.0500000;45650
GAZP;1;200402;113800;182.0100000;182.0900000;181.9400000;181.9600000;18460
GAZP;1;200402;113900;182.0700000;182.1700000;182.0100000;182.0300000;37450
GAZP;1;200402;114000;182.0500000;182.3400000;182.0500000;182.2000000;45780
GAZP;1;200402;114100;182.2700000;182.3800000;182.2000000;182.3400000;21140
GAZP;1;200402;114200;182.4000000;182.4000000;182.1900000;182.3400000;57330
GAZP;1;200402;114300;182.3400000;182.3400000;182.2100000;182.2500000;14740
GAZP;1;200402;114400;182.2500000;182.2800000;181.9400000;181.9800000;93220
GAZP;1;200402;114500;181.9800000;182.0200000;181.7800000;181.9100000;166860
GAZP;1;200402;114600;181.9000000;182.1100000;181.8200000;182.0900000;88530
GAZP;1;200402;114700;182.1100000;182.3800000;182.0700000;182.0700000;58280
GAZP;1;200402;114800;182.1200000;182.2400000;182.1100000;182.1100000;12230
GAZP;1;200402;114900;182.1100000;182.1700000;182.0100000;182.1700000;16850
GAZP;1;200402;115000;182.1300000;182.2700000;182.1000000;182.2700000;31300
GAZP;1;200402;115100;182.2500000;182.2700000;182.1500000;182.2100000;79050
GAZP;1;200402;115200;182.1800000;182.3600000;182.1200000;182.3400000;91750
GAZP;1;200402;115300;182.3400000;182.3700000;182.2400000;182.3700000;71970
GAZP;1;200402;115400;182.3500000;182.5000000;182.3000000;182.4300000;68160
GAZP;1;200402;115500;182.4000000;182.5000000;182.3000000;182.3100000;47410
GAZP;1;200402;115600;182.3700000;182.4900000;182.3100000;182.4800000;38940
GAZP;1;200402;115700;182.4500000;182.4700000;182.2900000;182.3200000;45890
GAZP;1;200402;115800;182.2800000;182.3700000;182.2700000;182.3000000;40240
GAZP;1;200402;115900;182.3400000;182.3400000;182.2500000;182.3400000;36280
GAZP;1;200402;120000;182.3400000;182.4000000;182.3000000;182.3000000;31850
GAZP;1;200402;120100;182.3100000;182.3500000;182.1500000;182.2500000;15960
GAZP;1;200402;120200;182.2700000;182.2700000;182.1500000;182.2100000;45010
GAZP;1;200402;120300;182.2600000;182.3600000;182.1800000;182.2700000;24730
GAZP;1;200402;120400;182.2400000;182.2600000;182.0000000;182.1300000;103570
GAZP;1;200402;120500;182.0600000;182.2200000;182.0100000;182.0100000;93250
GAZP;1;200402;120600;182.0700000;182.0900000;182.0100000;182.0800000;37960
GAZP;1;200402;120700;182.0300000;182.0700000;181.9000000;182.0200000;62900
GAZP;1;200402;120800;182.0200000;182.0600000;181.9600000;182.0600000;24850
GAZP;1;200402;120900;182.0400000;182.0900000;181.9800000;182.0700000;33740
GAZP;1;200402;121000;182.0300000;182.2300000;182.0000000;182.2300000;168660
GAZP;1;200402;121100;182.2300000;182.4700000;182.2000000;182.2900000;204510
GAZP;1;200402;121200;182.2200000;182.3600000;182.1600000;182.3200000;159350
GAZP;1;200402;121300;182.3200000;182.3400000;182.1700000;182.2600000;73280
GAZP;1;200402;121400;182.2500000;182.3300000;182.1300000;182.1700000;17630
GAZP;1;200402;121500;182.1400000;182.3100000;182.1400000;182.1800000;17480
GAZP;1;200402;121600;182.2200000;182.3700000;182.2200000;182.3700000;14550
GAZP;1;200402;121700;182.3200000;182.3500000;182.2500000;182.2900000;36370
GAZP;1;200402;121800;182.2500000;182.2500000;182.0700000;182.1700000;38510
GAZP;1;200402;121900;182.2000000;182.3000000;182.1700000;182.3000000;29160
GAZP;1;200402;122000;182.3100000;182.5500000;182.2700000;182.4200000;287090
GAZP;1;200402;122100;182.4400000;182.5900000;182.4300000;182.5600000;69850
GAZP;1;200402;122200;182.5500000;182.7900000;182.5200000;182.6400000;97320
GAZP;1;200402;122300;182.6700000;182.7500000;182.6000000;182.6600000;147240
GAZP;1;200402;122400;182.6900000;182.7900000;182.6100000;182.6200000;79370
GAZP;1;200402;122500;182.6800000;182.8500000;182.5300000;182.5300000;87860
GAZP;1;200402;122600;182.6000000;182.7100000;182.4700000;182.5000000;64300
GAZP;1;200402;122700;182.5100000;182.6000000;182.5100000;182.5400000;17780
GAZP;1;200402;122800;182.5600000;182.5800000;182.4900000;182.5300000;23760
GAZP;1;200402;122900;182.5100000;182.8500000;182.5100000;182.7900000;20900
GAZP;1;200402;123000;182.7900000;182.9000000;182.7900000;182.8700000;63390
GAZP;1;200402;123100;182.8900000;183.0500000;182.7800000;182.9700000;291320
GAZP;1;200402;123200;183.0000000;183.0500000;182.9000000;183.0000000;63850
GAZP;1;200402;123300;183.0000000;183.1000000;182.9200000;183.0600000;95220
GAZP;1;200402;123400;183.0600000;183.0600000;182.8500000;182.8500000;137300
GAZP;1;200402;123500;182.8500000;182.8800000;182.7600000;182.8000000;15880
GAZP;1;200402;123600;182.8000000;182.8500000;182.7100000;182.7900000;20650
