<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,15,20190624,164500,198.6400000,199.9900000,198.2200000,199.4100000,71500
US1.AAPL,15,20190624,170000,199.4300000,199.9100000,199.3600000,199.6200000,38485
US1.AAPL,15,20190624,171500,199.6000000,200.1500000,199.5500000,199.8100000,56544
US1.AAPL,15,20190624,173000,199.8100000,199.8400000,199.2800000,199.5600000,42204
US1.AAPL,15,20190624,174500,199.5500000,199.8400000,199.3800000,199.6300000,30738
US1.AAPL,15,20190624,180000,199.7150000,199.8300000,199.5800000,199.7500000,24648
US1.AAPL,15,20190624,181500,199.7900000,199.8500000,199.6700000,199.8200000,25233
US1.AAPL,15,20190624,183000,199.8000000,199.8300000,199.3100000,199.4800000,30938
US1.AAPL,15,20190624,184500,199.4900000,199.6000000,199.3600000,199.4700000,23225
US1.AAPL,15,20190624,190000,199.4600000,199.5800000,199.3900000,199.4800000,26641
US1.AAPL,15,20190624,191500,199.5000000,199.5800000,199.1900000,199.2600000,34743
US1.AAPL,15,20190624,193000,199.2800000,199.3600000,198.9700000,199.0500000,23478
US1.AAPL,15,20190624,194500,199.0600000,199.2300000,198.9500000,198.9900000,22124
US1.AAPL,15,20190624,200000,198.9900000,199.2400000,198.9800000,199.1700000,26929
US1.AAPL,15,20190624,201500,199.1900000,199.3000000,199.0650000,199.2800000,18734
US1.AAPL,15,20190624,203000,199.2700000,199.3900000,199.0700000,199.0800000,16868
US1.AAPL,15,20190624,204500,199.0700000,199.2050000,199.0300000,199.0700000,16425
US1.AAPL,15,20190624,210000,199.0600000,199.0900000,198.9500000,199.0300000,20190
US1.AAPL,15,20190624,211500,199.0200000,199.0700000,198.9600000,199.0300000,19365
US1.AAPL,15,20190624,213000,199.0400000,199.1800000,198.9550000,199.0100000,19982
US1.AAPL,15,20190624,214500,198.9900000,199.1400000,198.8650000,198.9400000,23388
US1.AAPL,15,20190624,220000,198.9300000,199.1300000,198.8700000,199.1200000,22810
US1.AAPL,15,20190624,221500,199.1200000,199.1400000,198.9800000,199.1400000,26453
US1.AAPL,15,20190624,223000,199.1200000,199.1900000,198.9200000,198.9200000,26828
US1.AAPL,15,20190624,224500,198.9300000,199.3400000,198.8450000,199.3400000,35949
US1.AAPL,15,20190624,230000,199.3500000,199.3500000,198.5100000,198.5600000,60303
US1.AAPL,15,20190625,164500,198.5600000,199.2600000,198.4100000,198.8000000,115382
US1.AAPL,15,20190625,170000,198.7600000,198.9700000,198.3400000,198.5200000,106728
US1.AAPL,15,20190625,171500,198.5900000,198.6800000,197.7300000,197.9400000,80796
US1.AAPL,15,20190625,173000,197.9000000,198.2500000,197.6500000,198.2400000,64987
US1.AAPL,15,20190625,174500,198.2300000,198.3500000,197.8100000,198.0100000,59862
US1.AAPL,15,20190625,180000,198.0600000,198.3300000,197.9500000,198.2500000,38696
US1.AAPL,15,20190625,181500,198.2700000,198.4200000,198.0300000,198.0800000,45136
US1.AAPL,15,20190625,183000,198.1000000,198.2500000,197.7400000,197.7500000,47956
US1.AAPL,15,20190625,184500,197.7500000,198.0900000,197.7500000,198.0100000,34345
US1.AAPL,15,20190625,190000,198.0200000,198.0500000,197.6100000,197.7800000,27068
US1.AAPL,15,20190625,191500,197.8000000,198.0900000,197.6400000,197.9500000,30736
US1.AAPL,15,20190625,193000,197.9400000,197.9400000,197.5700000,197.9100000,30723
US1.AAPL,15,20190625,194500,197.9100000,198.0100000,197.2100000,197.2800000,30588
US1.AAPL,15,20190625,200000,197.2200000,197.3700000,197.0200000,197.3700000,31329
US1.AAPL,15,20190625,201500,197.3700000,197.3800000,196.6500000,197.1900000,41281
US1.AAPL,15,20190625,203000,197.1500000,197.4800000,196.8700000,197.4300000,32877
US1.AAPL,15,20190625,204500,197.3900000,197.7600000,197.3100000,197.5500000,26203
US1.AAPL,15,20190625,210000,197.5900000,197.7000000,197.2500000,197.2600000,22905
US1.AAPL,15,20190625,211500,197.2600000,197.4400000,197.2100000,197.3800000,23218
US1.AAPL,15,20190625,213000,197.3800000,197.4100000,197.0300000,197.0900000,21739
US1.AAPL,15,20190625,214500,197.0700000,197.0800000,196.0700000,196.1200000,47114
US1.AAPL,15,20190625,220000,196.1100000,196.4100000,196.0700000,196.2600000,42257
US1.AAPL,15,20190625,221500,196.2800000,196.4100000,195.6650000,195.7000000,45030
US1.AAPL,15,20190625,223000,195.6600000,195.8300000,195.3600000,195.7200000,42978
US1.AAPL,15,20190625,224500,195.7000000,196.1800000,195.6500000,195.9500000,41037
US1.AAPL,15,20190625,230000,195.9000000,196.1500000,195.5400000,195.5700000,80699
US1.AAPL,15,20190626,164500,197.8700000,200.1400000,197.3700000,200.0400000,204489
US1.AAPL,15,20190626,170000,200.0300000,200.9300000,199.8300000,200.9200000,174023
US1.AAPL,15,20190626,171500,200.9300000,200.9900000,200.0100000,200.1300000,94738
US1.AAPL,15,20190626,173000,200.1400000,200.4000000,199.8950000,200.2500000,52942
US1.AAPL,15,20190626,174500,200.2700000,200.5400000,200.0200000,200.1200000,50392
US1.AAPL,15,20190626,180000,200.0800000,200.4600000,200.0000000,200.2100000,58231
US1.AAPL,15,20190626,181500,200.1900000,200.3800000,199.5750000,199.6400000,63655
US1.AAPL,15,20190626,183000,199.6300000,200.1200000,199.6100000,200.1200000,43626
US1.AAPL,15,20190626,184500,200.1100000,200.1400000,199.5300000,199.9500000,47174
US1.AAPL,15,20190626,190000,199.9000000,200.6400000,199.9000000,200.6400000,73218
US1.AAPL,15,20190626,191500,200.6500000,200.7100000,200.4800000,200.6200000,51578
US1.AAPL,15,20190626,193000,200.6500000,200.6900000,200.3900000,200.6700000,33509
US1.AAPL,15,20190626,194500,200.6900000,200.8500000,200.5850000,200.8200000,49038
US1.AAPL,15,20190626,200000,200.8100000,200.9150000,200.5200000,200.5300000,33474
US1.AAPL,15,20190626,201500,200.5200000,200.5300000,200.2900000,200.4200000,24938
US1.AAPL,15,20190626,203000,200.3700000,200.3900000,200.0000000,200.0000000,23657
US1.AAPL,15,20190626,204500,200.0200000,200.1100000,199.7500000,199.8950000,37312
US1.AAPL,15,20190626,210000,199.8700000,199.9500000,199.5600000,199.8300000,40945
US1.AAPL,15,20190626,211500,199.8100000,199.8800000,199.4900000,199.6200000,33545
US1.AAPL,15,20190626,213000,199.6550000,199.7650000,199.3700000,199.5700000,33418
US1.AAPL,15,20190626,214500,199.5450000,199.5500000,199.2900000,199.5400000,44432
US1.AAPL,15,20190626,220000,199.5600000,199.7500000,199.4900000,199.6600000,35854
US1.AAPL,15,20190626,221500,199.6700000,200.0000000,199.5800000,199.9600000,57016
US1.AAPL,15,20190626,223000,199.9800000,200.1700000,199.8900000,199.9700000,42003
US1.AAPL,15,20190626,224500,199.9400000,200.2000000,199.9200000,199.9400000,60023
US1.AAPL,15,20190626,230000,199.8950000,200.0800000,199.7700000,199.8000000,106086
US1.AAPL,15,20190627,164500,200.1500000,201.3000000,200.1400000,201.0800000,121832
US1.AAPL,15,20190627,170000,201.1300000,201.5650000,201.0800000,201.2400000,72796
US1.AAPL,15,20190627,171500,201.2200000,201.3400000,201.1200000,201.2500000,37953
US1.AAPL,15,20190627,173000,201.2200000,201.2700000,200.6800000,200.8200000,30842
US1.AAPL,15,20190627,174500,200.8200000,200.8800000,200.4400000,200.4400000,46544
US1.AAPL,15,20190627,180000,200.4300000,200.6500000,200.1200000,200.5700000,36754
US1.AAPL,15,20190627,181500,200.5800000,200.7500000,200.4400000,200.4700000,20256
US1.AAPL,15,20190627,183000,200.4900000,200.5800000,199.9200000,200.1300000,79203
US1.AAPL,15,20190627,184500,200.0000000,200.0400000,199.6800000,199.7100000,33774
US1.AAPL,15,20190627,190000,199.7100000,199.8900000,199.5700000,199.7900000,30063
US1.AAPL,15,20190627,191500,199.8000000,200.3000000,199.7300000,200.1100000,36594
US1.AAPL,15,20190627,193000,200.1900000,200.3700000,200.0900000,200.1200000,26610
US1.AAPL,15,20190627,194500,200.1500000,200.3800000,199.9800000,200.0300000,15438
US1.AAPL,15,20190627,200000,199.9700000,200.0500000,199.9400000,199.9400000,11002
US1.AAPL,15,20190627,201500,199.9300000,200.0500000,199.9300000,199.9400000,12676
US1.AAPL,15,20190627,203000,199.9500000,200.0800000,199.9400000,200.0200000,14978
US1.AAPL,15,20190627,204500,200.0500000,200.2400000,200.0100000,200.2100000,16408
US1.AAPL,15,20190627,210000,200.2100000,200.2100000,199.9400000,199.9900000,12363
US1.AAPL,15,20190627,211500,199.9600000,200.0000000,199.8800000,199.8900000,16114
US1.AAPL,15,20190627,213000,199.9000000,200.1300000,199.9000000,200.1300000,9818
US1.AAPL,15,20190627,214500,200.1300000,200.1600000,199.9500000,199.9500000,10596
US1.AAPL,15,20190627,220000,199.9400000,199.9700000,199.8800000,199.9700000,17344
US1.AAPL,15,20190627,221500,199.9800000,200.0100000,199.8800000,199.9850000,26395
US1.AAPL,15,20190627,223000,199.9750000,200.0000000,199.8800000,200.0000000,27457
US1.AAPL,15,20190627,224500,199.9900000,200.0500000,199.9200000,200.0200000,30519
US1.AAPL,15,20190627,230000,200.0100000,200.0600000,199.6600000,199.7400000,69993
US1.AAPL,15,20190628,164500,198.6600000,199.4500000,198.0500000,198.2800000,77704
US1.AAPL,15,20190628,170000,198.2900000,198.3100000,197.2600000,197.3400000,94398
US1.AAPL,15,20190628,171500,197.3400000,197.7700000,197.0500000,197.5200000,63497
US1.AAPL,15,20190628,173000,197.5400000,197.9200000,197.4600000,197.8400000,32316
US1.AAPL,15,20190628,174500,197.9000000,198.2900000,197.5000000,198.1700000,36630
US1.AAPL,15,20190628,180000,198.1900000,198.2800000,198.0800000,198.2400000,26555
US1.AAPL,15,20190628,181500,198.1600000,198.2200000,197.8500000,197.9300000,19791
US1.AAPL,15,20190628,183000,197.9700000,198.0300000,197.8500000,197.9800000,17960
US1.AAPL,15,20190628,184500,197.9700000,198.0900000,197.9200000,198.0750000,25385
US1.AAPL,15,20190628,190000,198.1600000,198.7300000,198.1600000,198.6500000,33235
US1.AAPL,15,20190628,191500,198.6400000,198.8800000,198.6300000,198.6600000,25147
US1.AAPL,15,20190628,193000,198.6500000,199.3300000,198.6100000,199.1300000,40210
US1.AAPL,15,20190628,194500,199.1800000,199.2600000,199.0400000,199.2600000,25794
US1.AAPL,15,20190628,200000,199.2600000,199.4000000,198.9300000,198.9400000,34619
US1.AAPL,15,20190628,201500,198.9500000,198.9800000,198.7200000,198.8100000,24807
US1.AAPL,15,20190628,203000,198.7800000,198.8300000,198.2900000,198.3100000,18782
US1.AAPL,15,20190628,204500,198.3400000,198.3800000,198.0500000,198.0500000,25352
US1.AAPL,15,20190628,210000,198.0200000,198.1000000,197.9100000,198.0600000,29490
US1.AAPL,15,20190628,211500,198.0400000,198.1150000,197.9600000,197.9600000,29641
US1.AAPL,15,20190628,213000,197.9600000,198.2400000,197.9200000,198.1800000,21487
US1.AAPL,15,20190628,214500,198.1700000,198.2200000,197.7200000,197.8500000,40751
US1.AAPL,15,20190628,220000,197.8300000,197.8700000,197.1650000,197.2800000,68003
US1.AAPL,15,20190628,221500,197.3000000,197.4600000,197.1200000,197.3000000,45132
US1.AAPL,15,20190628,223000,197.3100000,197.4800000,197.2000000,197.3700000,41961
US1.AAPL,15,20190628,224500,197.3700000,197.8000000,197.2200000,197.7800000,56578
US1.AAPL,15,20190628,230000,197.7800000,198.0300000,197.2200000,197.9300000,106606
US1.AAPL,15,20190701,164500,203.1700000,204.4800000,202.7500000,203.9300000,164113
US1.AAPL,15,20190701,170000,203.9400000,203.9600000,203.0600000,203.4500000,98828
US1.AAPL,15,20190701,171500,203.4600000,203.9500000,203.2700000,203.3900000,69730
US1.AAPL,15,20190701,173000,203.2600000,203.3000000,202.3800000,202.6400000,57361
US1.AAPL,15,20190701,174500,202.6600000,202.9800000,202.5800000,202.9400000,45815
US1.AAPL,15,20190701,180000,202.9500000,203.0200000,202.5300000,202.9400000,39686
US1.AAPL,15,20190701,181500,202.9500000,203.1100000,202.6350000,202.7000000,30812
US1.AAPL,15,20190701,183000,202.6800000,202.9100000,202.3100000,202.3400000,33623
US1.AAPL,15,20190701,184500,202.3800000,202.6900000,202.1000000,202.4300000,32117
US1.AAPL,15,20190701,190000,202.4300000,202.4700000,202.1800000,202.2300000,31248
US1.AAPL,15,20190701,191500,202.2500000,202.2600000,201.9900000,202.2300000,29532
US1.AAPL,15,20190701,193000,202.2700000,202.2800000,201.6600000,201.8400000,29073
US1.AAPL,15,20190701,194500,201.8400000,201.9800000,201.6500000,201.8500000,21589
US1.AAPL,15,20190701,200000,201.8500000,201.8700000,200.9500000,201.0700000,41738
US1.AAPL,15,20190701,201500,201.1600000,201.3500000,200.8600000,201.2500000,32382
US1.AAPL,15,20190701,203000,201.2500000,201.4900000,200.8600000,201.4900000,29290
US1.AAPL,15,20190701,204500,201.5100000,201.7700000,201.4000000,201.4600000,22714
US1.AAPL,15,20190701,210000,201.4400000,201.5900000,201.3400000,201.4850000,21276
US1.AAPL,15,20190701,211500,201.5000000,201.5200000,200.9600000,201.2200000,23972
US1.AAPL,15,20190701,213000,201.1900000,201.2100000,200.8100000,200.8100000,26636
US1.AAPL,15,20190701,214500,200.8200000,201.0900000,200.7200000,200.8600000,26135
US1.AAPL,15,20190701,220000,200.8900000,200.9700000,200.6500000,200.7300000,21712
US1.AAPL,15,20190701,221500,200.6900000,201.3800000,200.6900000,201.3800000,33274
US1.AAPL,15,20190701,223000,201.3900000,201.5400000,201.2800000,201.4900000,26492
US1.AAPL,15,20190701,224500,201.5000000,201.9000000,201.5000000,201.7600000,40463
US1.AAPL,15,20190701,230000,201.7300000,201.7300000,201.2400000,201.4600000,48515
US1.AAPL,15,20190702,164500,201.4550000,202.4700000,201.3800000,201.9400000,73800
US1.AAPL,15,20190702,170000,202.0100000,202.6500000,201.9100000,202.4500000,40657
US1.AAPL,15,20190702,171500,202.4000000,202.9300000,202.3300000,202.5900000,36636
US1.AAPL,15,20190702,173000,202.6100000,202.8500000,202.1200000,202.8500000,28982
US1.AAPL,15,20190702,174500,202.8600000,203.1100000,202.5600000,202.6500000,51186
US1.AAPL,15,20190702,180000,202.6100000,202.8800000,202.6000000,202.8600000,25395
US1.AAPL,15,20190702,181500,202.8300000,202.9500000,202.7400000,202.7900000,14406
US1.AAPL,15,20190702,183000,202.7500000,202.8100000,202.5600000,202.5900000,18295
US1.AAPL,15,20190702,184500,202.6000000,202.6000000,201.9400000,202.1400000,26955
US1.AAPL,15,20190702,190000,202.1500000,202.3700000,202.0500000,202.3100000,23652
US1.AAPL,15,20190702,191500,202.3100000,202.4400000,202.1000000,202.3100000,19191
US1.AAPL,15,20190702,193000,202.2800000,202.6000000,201.9800000,202.0400000,24289
US1.AAPL,15,20190702,194500,202.0700000,202.1400000,201.7000000,201.7600000,25880
