<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,15,20170623,164500,145.1600000,145.9100000,145.1200000,145.5000000,59576
US1.AAPL,15,20170623,170000,145.5300000,145.8400000,145.3500000,145.8000000,68834
US1.AAPL,15,20170623,171500,145.7900000,145.8300000,145.6000000,145.6000000,56757
US1.AAPL,15,20170623,173000,145.6300000,145.7700000,145.4500000,145.7200000,50862
US1.AAPL,15,20170623,174500,145.7100000,146.1400000,145.7050000,146.1200000,55923
US1.AAPL,15,20170623,180000,146.1000000,146.2900000,146.0400000,146.1100000,41122
US1.AAPL,15,20170623,181500,146.1100000,146.3900000,146.1000000,146.1800000,29358
US1.AAPL,15,20170623,183000,146.1800000,146.3600000,146.1100000,146.3300000,36156
US1.AAPL,15,20170623,184500,146.3300000,146.3900000,146.2500000,146.3500000,25737
US1.AAPL,15,20170623,190000,146.3500000,146.9100000,146.3400000,146.8600000,72247
US1.AAPL,15,20170623,191500,146.8600000,146.8600000,146.5700000,146.6500000,35727
US1.AAPL,15,20170623,193000,146.6600000,146.9000000,146.6500000,146.8800000,42716
US1.AAPL,15,20170623,194500,146.9000000,147.0000000,146.9000000,146.9800000,34339
US1.AAPL,15,20170623,200000,146.9700000,147.0200000,146.8600000,146.9000000,25536
US1.AAPL,15,20170623,201500,146.9000000,146.9000000,146.6400000,146.7800000,19735
US1.AAPL,15,20170623,203000,146.7700000,146.9300000,146.7650000,146.8600000,17079
US1.AAPL,15,20170623,204500,146.8600000,147.0600000,146.8150000,147.0500000,33412
US1.AAPL,15,20170623,210000,147.0500000,147.1550000,146.9600000,147.0150000,35304
US1.AAPL,15,20170623,211500,147.0200000,147.0800000,146.9000000,147.0000000,37960
US1.AAPL,15,20170623,213000,147.0000000,147.0000000,146.8400000,146.8600000,35871
US1.AAPL,15,20170623,214500,146.8400000,146.9100000,146.6100000,146.6100000,44197
US1.AAPL,15,20170623,220000,146.6100000,146.7600000,146.6100000,146.6900000,26738
US1.AAPL,15,20170623,221500,146.6700000,146.7050000,146.3900000,146.4300000,51935
US1.AAPL,15,20170623,223000,146.4300000,146.4700000,146.2000000,146.3100000,86470
US1.AAPL,15,20170623,224500,146.3000000,146.6800000,146.2700000,146.6300000,68339
US1.AAPL,15,20170623,230000,146.6250000,146.7300000,146.2800000,146.2900000,163518
US1.AAPL,15,20170626,164500,147.1700000,148.2800000,147.1700000,148.1700000,128600
US1.AAPL,15,20170626,170000,148.1800000,148.2400000,147.8550000,147.9500000,63459
US1.AAPL,15,20170626,171500,148.0000000,148.0000000,147.1500000,147.3100000,90199
US1.AAPL,15,20170626,173000,147.3200000,147.5700000,147.1200000,147.4700000,63572
US1.AAPL,15,20170626,174500,147.5000000,147.5300000,146.4900000,146.6500000,112345
US1.AAPL,15,20170626,180000,146.6700000,146.7700000,146.1800000,146.5000000,101077
US1.AAPL,15,20170626,181500,146.5000000,146.5100000,145.8900000,146.0150000,101742
US1.AAPL,15,20170626,183000,145.9900000,145.9900000,145.6200000,145.8400000,85873
