<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,15,20190627,113000,234.2100000,234.4900000,233.8000000,233.9500000,622960
GAZP,15,20190627,114500,233.9000000,234.0600000,233.0000000,233.0200000,1332900
GAZP,15,20190627,120000,233.0200000,233.4400000,232.8000000,233.1500000,644190
GAZP,15,20190627,121500,233.1400000,233.3800000,232.7500000,233.2900000,1039250
GAZP,15,20190627,123000,233.2600000,233.9700000,233.1600000,233.9200000,480670
GAZP,15,20190627,124500,233.9500000,233.9700000,233.6600000,233.8400000,369240
GAZP,15,20190627,130000,233.8800000,234.0200000,233.6300000,233.7200000,392230
GAZP,15,20190627,131500,233.7200000,233.7800000,232.9100000,233.1000000,787950
GAZP,15,20190627,133000,233.0500000,233.2500000,232.9000000,233.1400000,388210
GAZP,15,20190627,134500,233.1500000,233.2000000,233.1400000,233.1800000,114750
GAZP,15,20190627,140000,233.1800000,233.1800000,232.9200000,233.0800000,217680
GAZP,15,20190627,141500,233.1400000,233.2200000,232.9600000,233.0200000,152920
GAZP,15,20190627,143000,233.0200000,233.4300000,233.0200000,233.2700000,265940
GAZP,15,20190627,144500,233.1900000,233.3000000,233.1600000,233.2600000,89780
GAZP,15,20190627,150000,233.2600000,233.2700000,232.7100000,233.0000000,400160
GAZP,15,20190627,151500,232.9800000,233.0000000,232.6100000,232.6600000,255690
GAZP,15,20190627,153000,232.6500000,233.5700000,232.6200000,233.5000000,319860
GAZP,15,20190627,154500,233.4900000,233.5200000,233.1300000,233.2900000,139180
GAZP,15,20190627,160000,233.2800000,233.3900000,233.1300000,233.3500000,164360
GAZP,15,20190627,161500,233.3900000,234.1700000,233.2800000,233.4600000,790700
GAZP,15,20190627,163000,233.4000000,233.6400000,233.3000000,233.3900000,741790
GAZP,15,20190627,164500,233.3900000,233.6100000,233.2600000,233.3500000,780760
GAZP,15,20190627,170000,233.4100000,233.6800000,233.3500000,233.4300000,344750
GAZP,15,20190627,171500,233.4200000,233.7800000,233.3700000,233.6000000,755370
GAZP,15,20190627,173000,233.6000000,233.7400000,233.5300000,233.6300000,312960
GAZP,15,20190627,174500,233.6000000,233.7000000,233.4100000,233.7000000,142320
